,date,position,city,state,endorser,endorsee,endorser party,source,order,category,body,district,points_x,key,name,x,y,points_y,points_by_state
36,2019-01-27,state treasurer,,CA,Fiona Ma,Kamala Harris,D,https://twitter.com/fionama/status/1089623289872343040,22.0,Statewide officeholders,,,2,CA,California,0,4,230,43.0
37,2019-02-26,insurance commissioner,,CA,Ricardo Lara,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,24.0,Statewide officeholders,,,2,CA,California,0,4,230,43.0
38,2019-02-26,superintendent of public instruction,,CA,Tony Thurmond,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,25.0,Statewide officeholders,,,2,CA,California,0,4,230,43.0
39,2019-01-21,DNC member,,CA,Laphonza Butler,Kamala Harris,D,https://www.politico.com/states/california/story/2019/01/21/kamala-harris-launches-campaign-for-president-804259,,DNC members,,,1,CA,California,0,4,230,43.0
40,2019-02-06,DNC member,,CA,Bob Mulholland,Kamala Harris,D,https://kfdm.com/news/nation-world/warren-struggles-to-move-past-native-american-heritage-flap,,DNC members,,,1,CA,California,0,4,230,43.0
41,,speaker of the House,,CA,Nancy Pelosi,,D,,,Current party leaders,,,10,CA,California,0,4,230,0.0
42,,mayor,Los Angeles,CA,Eric Garcetti,,D,,2.0,Mayors,,,3,CA,California,0,4,230,0.0
43,,mayor,San Jose,CA,Sam Liccardo,,D,,10.0,Mayors,,,3,CA,California,0,4,230,0.0
44,,mayor,Sacramento,CA,Darrell Steinberg,,D,,34.0,Mayors,,,3,CA,California,0,4,230,0.0
45,,mayor,Long Beach,CA,Robert Garcia,,D,,38.0,Mayors,,,3,CA,California,0,4,230,0.0
46,,mayor,Santa Ana,CA,Miguel A. Pulido,,D,,56.0,Mayors,,,3,CA,California,0,4,230,0.0
47,,mayor,Stockton,CA,Michael D. Tubbs,,D,,58.0,Mayors,,,3,CA,California,0,4,230,0.0
48,,mayor,Riverside,CA,Rusty Bailey,,,,64.0,Mayors,,,3,CA,California,0,4,230,0.0
49,,representative,,CA,Jared Huffman,,D,,,Representatives,,2.0,3,CA,California,0,4,230,0.0
50,,representative,,CA,John Garamendi,,D,,,Representatives,,3.0,3,CA,California,0,4,230,0.0
51,,representative,,CA,Mike Thompson,,D,,,Representatives,,5.0,3,CA,California,0,4,230,0.0
52,,representative,,CA,Doris O. Matsui,,D,,,Representatives,,6.0,3,CA,California,0,4,230,0.0
53,,representative,,CA,Ami Bera,,D,,,Representatives,,7.0,3,CA,California,0,4,230,0.0
54,,representative,,CA,Jerry McNerney,,D,,,Representatives,,9.0,3,CA,California,0,4,230,0.0
55,,representative,,CA,Josh Harder,,D,,,Representatives,,10.0,3,CA,California,0,4,230,0.0
56,,representative,,CA,Mark DeSaulnier,,D,,,Representatives,,11.0,3,CA,California,0,4,230,0.0
57,,representative,,CA,Jackie Speier,,D,,,Representatives,,14.0,3,CA,California,0,4,230,0.0
58,,representative,,CA,Eric Swalwell,,D,,,Representatives,,15.0,3,CA,California,0,4,230,0.0
59,,representative,,CA,Jim Costa,,D,,,Representatives,,16.0,3,CA,California,0,4,230,0.0
60,,representative,,CA,Anna G. Eshoo,,D,,,Representatives,,18.0,3,CA,California,0,4,230,0.0
61,,representative,,CA,Zoe Lofgren,,D,,,Representatives,,19.0,3,CA,California,0,4,230,0.0
62,,representative,,CA,Jimmy Panetta,,D,,,Representatives,,20.0,3,CA,California,0,4,230,0.0
63,,representative,,CA,TJ Cox,,D,,,Representatives,,21.0,3,CA,California,0,4,230,0.0
64,,representative,,CA,Salud Carbajal,,D,,,Representatives,,24.0,3,CA,California,0,4,230,0.0
65,,representative,,CA,Judy Chu,,D,,,Representatives,,27.0,3,CA,California,0,4,230,0.0
66,,representative,,CA,Adam Schiff,,D,,,Representatives,,28.0,3,CA,California,0,4,230,0.0
67,,representative,,CA,Tony Cárdenas,,D,,,Representatives,,29.0,3,CA,California,0,4,230,0.0
68,,representative,,CA,Brad Sherman,,D,,,Representatives,,30.0,3,CA,California,0,4,230,0.0
69,,representative,,CA,Pete Aguilar,,D,,,Representatives,,31.0,3,CA,California,0,4,230,0.0
70,,representative,,CA,Grace Napolitano,,D,,,Representatives,,32.0,3,CA,California,0,4,230,0.0
71,,representative,,CA,Jimmy Gomez,,D,,,Representatives,,34.0,3,CA,California,0,4,230,0.0
72,,representative,,CA,Norma Torres,,D,,,Representatives,,35.0,3,CA,California,0,4,230,0.0
73,,representative,,CA,Raul Ruiz,,D,,,Representatives,,36.0,3,CA,California,0,4,230,0.0
74,,representative,,CA,Karen Bass,,D,,,Representatives,,37.0,3,CA,California,0,4,230,0.0
75,,representative,,CA,Linda Sánchez,,D,,,Representatives,,38.0,3,CA,California,0,4,230,0.0
76,,representative,,CA,Gil Cisneros,,D,,,Representatives,,39.0,3,CA,California,0,4,230,0.0
77,,representative,,CA,Lucille Roybal-Allard,,D,,,Representatives,,40.0,3,CA,California,0,4,230,0.0
78,,representative,,CA,Mark Takano,,D,,,Representatives,,41.0,3,CA,California,0,4,230,0.0
79,,representative,,CA,Maxine Waters,,D,,,Representatives,,43.0,3,CA,California,0,4,230,0.0
80,,representative,,CA,Katie Porter,,D,,,Representatives,,45.0,3,CA,California,0,4,230,0.0
81,,representative,,CA,J. Luis Correa,,D,,,Representatives,,46.0,3,CA,California,0,4,230,0.0
82,,representative,,CA,Alan Lowenthal,,D,,,Representatives,,47.0,3,CA,California,0,4,230,0.0
83,,representative,,CA,Harley Rouda,,D,,,Representatives,,48.0,3,CA,California,0,4,230,0.0
84,,representative,,CA,Mike Levin,,D,,,Representatives,,49.0,3,CA,California,0,4,230,0.0
85,,representative,,CA,Scott Peters,,D,,,Representatives,,52.0,3,CA,California,0,4,230,0.0
86,,representative,,CA,Susan Davis,,D,,,Representatives,,53.0,3,CA,California,0,4,230,0.0
87,,speaker,,CA,Anthony Rendon,,D,,,State legislative leaders,House,,2,CA,California,0,4,230,0.0
88,,attorney general,,CA,Xavier Becerra,,D,,21.0,Statewide officeholders,,,2,CA,California,0,4,230,0.0
89,,state controller,,CA,Betty Yee,,D,,23.0,Statewide officeholders,,,2,CA,California,0,4,230,0.0
90,,DNC member,,CA,Steven K. Alari,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
91,,DNC member,,CA,Becca Doten,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
92,,DNC member,,CA,Jesse L. Durfee,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
93,,DNC member,,CA,Mary Ellen Early,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
94,,DNC member,,CA,Maria Echaveste,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
95,,DNC member,,CA,Alice A. Huffman,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
96,,DNC member,,CA,Aleita J. Huguenin,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
97,,DNC member,,CA,Lorna M. Johnson,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
98,,DNC member,,CA,Michael Kapp,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
99,,DNC member,,CA,Andrew Lachman,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
100,,DNC member,,CA,Otto O. Lee,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
101,,DNC member,,CA,Sandra M. Lowe,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
102,,DNC member,,CA,Kerman Maddox,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
103,,DNC member,,CA,Christine Pelosi,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
104,,DNC member,,CA,John A. Perez,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
105,,DNC member,,CA,Melahat Rafiei,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
106,,DNC member,,CA,Rion J. Ramirez,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
107,,DNC member,,CA,Alexandra Gallardo Rooker,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
108,,DNC member,,CA,Susie A. Shannon,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
109,,DNC member,,CA,Garry S. Shay,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
110,,DNC member,,CA,Keith Umemoto,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
111,,DNC member,,CA,Amy Elaine Wakeland,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
112,,DNC member,,CA,Rosalind Wyman,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
113,,DNC member,,CA,Laurence S. Zakson,,D,,,DNC members,,,1,CA,California,0,4,230,0.0
114,2019-02-01,governor,,NJ,Phil Murphy,Cory Booker,D,https://newjerseyglobe.com/fr/murphy-endorses-booker-presidential-bid/,,Governors,,,8,NJ,New Jersey,8,3,60,54.0
115,2019-02-01,senator,,NJ,Robert Menendez,Cory Booker,D,https://twitter.com/BobMenendezNJ/status/1091391811040567297,,Senators,,,6,NJ,New Jersey,8,3,60,54.0
116,2019-02-21,representative,,NJ,Donald Norcross,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,1.0,3,NJ,New Jersey,8,3,60,54.0
117,2019-02-21,representative,,NJ,Jeff Van Drew,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,2.0,3,NJ,New Jersey,8,3,60,54.0
118,2019-02-21,representative,,NJ,Andy Kim,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,3.0,3,NJ,New Jersey,8,3,60,54.0
119,2019-02-21,representative,,NJ,Josh Gottheimer,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,5.0,3,NJ,New Jersey,8,3,60,54.0
120,2019-02-21,representative,,NJ,Frank Pallone Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,6.0,3,NJ,New Jersey,8,3,60,54.0
121,2019-02-21,representative,,NJ,Tom Malinowski,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,7.0,3,NJ,New Jersey,8,3,60,54.0
122,2019-02-21,representative,,NJ,Albio Sires,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,8.0,3,NJ,New Jersey,8,3,60,54.0
123,2019-02-21,representative,,NJ,Bill Pascrell Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,9.0,3,NJ,New Jersey,8,3,60,54.0
124,2019-02-21,representative,,NJ,Donald Payne Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,10.0,3,NJ,New Jersey,8,3,60,54.0
125,2019-02-21,representative,,NJ,Mikie Sherrill,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,11.0,3,NJ,New Jersey,8,3,60,54.0
126,2019-02-21,representative,,NJ,Bonnie Watson Coleman,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,12.0,3,NJ,New Jersey,8,3,60,54.0
127,2019-02-21,speaker,,NJ,Craig Coughlin,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,State legislative leaders,General Assembly,,2,NJ,New Jersey,8,3,60,54.0
128,2019-02-21,president,,NJ,Stephen Sweeney,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,State legislative leaders,Senate,,2,NJ,New Jersey,8,3,60,54.0
129,2019-02-21,lieutenant governor,,NJ,Sheila Oliver,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,134.0,Statewide officeholders,,,2,NJ,New Jersey,8,3,60,54.0
130,2019-02-21,DNC member,,NJ,John Currie,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,DNC members,,,1,NJ,New Jersey,8,3,60,54.0
131,,DNC member,,NJ,Tonio Burgos,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
132,,DNC member,,NJ,Bernadette P. McPherson Esq.,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
133,,DNC member,,NJ,John Graham,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
134,,DNC member,,NJ,Marcia Marley,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
135,,DNC member,,NJ,George E. Norcross III,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
136,,DNC member,,NJ,Lizette Delgado Polanco,,D,,,DNC members,,,1,NJ,New Jersey,8,3,60,0.0
137,2019-01-08,senator,,DE,Thomas R. Carper,Joe Biden,D,https://fox61.com/2019/01/08/will-he-or-wont-he-joe-biden-looms-over-the-2020-field/,,Senators,,,6,DE,Delaware,9,4,46,12.0
138,2019-02-26,senator,,DE,Christopher A. Coons,Joe Biden,D,https://www.breitbart.com/clips/2019/02/26/coons-i-absolutely-will-endorse-biden-if-he-runs/,,Senators,,,6,DE,Delaware,9,4,46,12.0
139,,governor,,DE,John Carney,,D,,,Governors,,,8,DE,Delaware,9,4,46,0.0
140,,former House Democratic whip,,DE,Tony Coelho,,D,,,Former party leaders,,,5,DE,Delaware,9,4,46,0.0
141,,representative,,DE,Lisa Blunt Rochester,,D,,,Representatives,,0.0,3,DE,Delaware,9,4,46,0.0
142,,president pro tem,,DE,David McBride,,D,,,State legislative leaders,Senate,,2,DE,Delaware,9,4,46,0.0
143,,speaker,,DE,Peter Schwartzkopf,,D,,,State legislative leaders,House,,2,DE,Delaware,9,4,46,0.0
144,,lieutenant governor,,DE,Bethany Hall-Long,,D,,35.0,Statewide officeholders,,,2,DE,Delaware,9,4,46,0.0
145,,attorney general,,DE,Kathy Jennings,,D,,36.0,Statewide officeholders,,,2,DE,Delaware,9,4,46,0.0
146,,state treasurer,,DE,Colleen Davis,,D,,37.0,Statewide officeholders,,,2,DE,Delaware,9,4,46,0.0
147,,auditor of accounts,,DE,Kathleen McGuiness,,D,,38.0,Statewide officeholders,,,2,DE,Delaware,9,4,46,0.0
148,,commissioner of insurance,,DE,Trinidad Navarro,,D,,39.0,Statewide officeholders,,,2,DE,Delaware,9,4,46,0.0
149,,DNC member,,DE,Kristin Dwyer,,D,,,DNC members,,,1,DE,Delaware,9,4,46,0.0
150,,DNC member,,DE,Sean Finnigan,,D,,,DNC members,,,1,DE,Delaware,9,4,46,0.0
151,,DNC member,,DE,Elizabeth D. Maron,,D,,,DNC members,,,1,DE,Delaware,9,4,46,0.0
152,,DNC member,,DE,Erik Raser-Schramm,,D,,,DNC members,,,1,DE,Delaware,9,4,46,0.0
153,2019-02-09,senator,,MA,Edward J. Markey,Elizabeth Warren,D,https://www.bostonherald.com/2019/02/09/warren-confirms-2020-presidential-bid/,,Senators,,,6,MA,Massachusetts,9,2,81,17.0
154,2019-02-08,representative,,MA,James McGovern,Elizabeth Warren,D,https://twitter.com/heatherscope/status/1093944117380419585?s=21,,Representatives,,2.0,3,MA,Massachusetts,9,2,81,17.0
155,2019-02-09,representative,,MA,Lori Trahan,Elizabeth Warren,D,https://www.bostonherald.com/2019/02/09/warren-confirms-2020-presidential-bid/,,Representatives,,3.0,3,MA,Massachusetts,9,2,81,17.0
156,2019-02-09,representative,,MA,Joseph P. Kennedy III,Elizabeth Warren,D,https://www.bostonherald.com/2019/02/09/warren-confirms-2020-presidential-bid/,,Representatives,,4.0,3,MA,Massachusetts,9,2,81,17.0
157,2019-02-09,president,,MA,Karen Spilka,Elizabeth Warren,D,https://www.boston.com/news/politics/2019/02/09/elizabeth-warren-endorsements-2020,,State legislative leaders,Senate,,2,MA,Massachusetts,9,2,81,17.0
158,,former DNC chair,,MA,Debra DeLee,,D,,,Former party leaders,,,5,MA,Massachusetts,9,2,81,0.0
159,,former DNC chair,,MA,Steven Grossman,,D,,,Former party leaders,,,5,MA,Massachusetts,9,2,81,0.0
160,,former DNC chair,,MA,Paul Kirk,,D,,,Former party leaders,,,5,MA,Massachusetts,9,2,81,0.0
161,,past presidential nominee,,MA,John Kerry,,D,,4.0,Past nominees,,,5,MA,Massachusetts,9,2,81,0.0
162,,past presidential nominee,,MA,Michael Dukakis,,D,,8.0,Past nominees,,,5,MA,Massachusetts,9,2,81,0.0
163,,mayor,Boston,MA,Marty Walsh,,D,,20.0,Mayors,,,3,MA,Massachusetts,9,2,81,0.0
164,,representative,,MA,Richard E. Neal,,D,,,Representatives,,1.0,3,MA,Massachusetts,9,2,81,0.0
165,,representative,,MA,Katherine Clark,,D,,,Representatives,,5.0,3,MA,Massachusetts,9,2,81,0.0
166,,representative,,MA,Seth Moulton,,D,,,Representatives,,6.0,3,MA,Massachusetts,9,2,81,0.0
167,,representative,,MA,Ayanna Pressley,,D,,,Representatives,,7.0,3,MA,Massachusetts,9,2,81,0.0
168,,representative,,MA,Stephen F. Lynch,,D,,,Representatives,,8.0,3,MA,Massachusetts,9,2,81,0.0
169,,representative,,MA,William Keating,,D,,,Representatives,,9.0,3,MA,Massachusetts,9,2,81,0.0
170,,speaker,,MA,Robert DeLeo,,D,,,State legislative leaders,House,,2,MA,Massachusetts,9,2,81,0.0
171,,secretary of the commonwealth,,MA,Bill Galvin,,D,,96.0,Statewide officeholders,,,2,MA,Massachusetts,9,2,81,0.0
172,,attorney general,,MA,Maura Healey,,D,,97.0,Statewide officeholders,,,2,MA,Massachusetts,9,2,81,0.0
173,,state treasurer and receiver-general,,MA,Deborah Goldberg,,D,,98.0,Statewide officeholders,,,2,MA,Massachusetts,9,2,81,0.0
174,,state auditor,,MA,Suzanne Bump,,D,,99.0,Statewide officeholders,,,2,MA,Massachusetts,9,2,81,0.0
175,,DNC member,,MA,Gus Bickford,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
176,,DNC member,,MA,Kate Donaghue,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
177,,DNC member,,MA,Elaine C. Kamarck,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
178,,DNC member,,MA,Debra Kozikowski,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
179,,DNC member,,MA,David M. O'Brien,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
180,,DNC member,,MA,Melvin Poindexter,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
181,,DNC member,,MA,James Roosevelt Jr.,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
182,,DNC member,,MA,Susan Thomson,,D,,,DNC members,,,1,MA,Massachusetts,9,2,81,0.0
183,2019-02-19,senator,,VT,Patrick J. Leahy,Bernie Sanders,D,https://ktiv.com/2019/02/19/the-latest-sanders-calls-2020-bid-a-continuation-of-2016/,,Senators,,,6,VT,Vermont,9,1,32,11.0
184,2019-02-19,representative,,VT,Peter Welch,Bernie Sanders,D,https://ktiv.com/2019/02/19/the-latest-sanders-calls-2020-bid-a-continuation-of-2016/,,Representatives,,0.0,3,VT,Vermont,9,1,32,11.0
185,2019-02-19,lieutenant governor,,VT,David Zuckerman,Bernie Sanders,D,https://twitter.com/DaveZuckermanVT/status/1097975870973755392,207.0,Statewide officeholders,,,2,VT,Vermont,9,1,32,11.0
186,,former DNC chair,,VT,Howard Dean,,D,,,Former party leaders,,,5,VT,Vermont,9,1,32,0.0
187,,president pro tem,,VT,Tim Ashe,,D,,,State legislative leaders,Senate,,2,VT,Vermont,9,1,32,0.0
188,,speaker,,VT,Mitzi Johnson,,D,,,State legislative leaders,House,,2,VT,Vermont,9,1,32,0.0
189,,secretary of state,,VT,Jim Condos,,D,,208.0,Statewide officeholders,,,2,VT,Vermont,9,1,32,0.0
190,,attorney general,,VT,T.J. Donovan,,D,,209.0,Statewide officeholders,,,2,VT,Vermont,9,1,32,0.0
191,,state treasurer,,VT,Beth Pearce,,D,,210.0,Statewide officeholders,,,2,VT,Vermont,9,1,32,0.0
192,,state auditor,,VT,Doug Hoffer,,D,,211.0,Statewide officeholders,,,2,VT,Vermont,9,1,32,0.0
193,,DNC member,,VT,Terje Anderson,,D,,,DNC members,,,1,VT,Vermont,9,1,32,0.0
194,,DNC member,,VT,Tim Jerman,,D,,,DNC members,,,1,VT,Vermont,9,1,32,0.0
195,,DNC member,,VT,Mary M. Sullivan,,D,,,DNC members,,,1,VT,Vermont,9,1,32,0.0
196,,DNC member,,VT,Tess Taylor,,D,,,DNC members,,,1,VT,Vermont,9,1,32,0.0
197,2019-03-03,former DNC chair,,PA,Ed Rendell,Amy Klobuchar,D,https://www.nytimes.com/2019/03/03/us/politics/2020-democrats-pennsylvania-.html,,Former party leaders,,,5,PA,Pennsylvania,7,3,75,5.0
198,2019-02-19,DNC member,,PA,Michael A. Nutter,Michael Bloomberg,D,https://www.politico.com/story/2019/02/19/michael-bloomberg-network-2020-1173605,,DNC members,,,1,PA,Pennsylvania,7,3,75,1.0
